dataset,k_shot,embedding,model,f1,accuracy,precision,recall,loss,training_time,total_epochs,filename
gossipcop,3,deberta,HGT,0.3139269532719183,0.31399700598802394,0.5250589306760955,0.5240090118578524,0.6943188905715942,3.4448728561401367,55,less4fd_gossipcop_k3_deberta_HGT_results.json
gossipcop,4,deberta,HGT,0.1584251968503937,0.18824850299401197,0.09412425149700598,0.5,0.7331990599632263,2.9819560050964355,39,less4fd_gossipcop_k4_deberta_HGT_results.json
gossipcop,5,deberta,HGT,0.1584251968503937,0.18824850299401197,0.09412425149700598,0.5,0.7316235303878784,3.0737223625183105,39,less4fd_gossipcop_k5_deberta_HGT_results.json
gossipcop,6,deberta,HGT,0.1594241088400628,0.18862275449101795,0.39392575928009,0.49870349136165026,0.705838680267334,2.9253599643707275,41,less4fd_gossipcop_k6_deberta_HGT_results.json
gossipcop,7,deberta,HGT,0.15995624699546446,0.18937125748502995,0.594230048707381,0.5006915629322268,0.7091702222824097,3.1851909160614014,47,less4fd_gossipcop_k7_deberta_HGT_results.json
gossipcop,8,deberta,HAN,0.17442038422555708,0.19910179640718562,0.5212800474641006,0.5021040194975834,0.7357496619224548,1.8362798690795898,31,less4fd_gossipcop_k8_deberta_HAN_results.json
gossipcop,8,deberta,HGT,0.1584251968503937,0.18824850299401197,0.09412425149700598,0.5,0.7002422213554382,3.2742903232574463,57,less4fd_gossipcop_k8_deberta_HGT_results.json
gossipcop,9,deberta,HGT,0.47616932531862194,0.7788173652694611,0.4962624252199078,0.49880202418499603,0.6917451620101929,3.6669092178344727,55,less4fd_gossipcop_k9_deberta_HGT_results.json
gossipcop,10,deberta,HGT,0.4480479239826482,0.811751497005988,0.405875748502994,0.5,0.6558034420013428,4.919301509857178,76,less4fd_gossipcop_k10_deberta_HGT_results.json
gossipcop,11,deberta,HGT,0.16469713500509317,0.19199101796407186,0.4688914027149321,0.4984876357346928,0.6972801685333252,3.0557923316955566,41,less4fd_gossipcop_k11_deberta_HGT_results.json
gossipcop,12,deberta,HGT,0.1581600504095778,0.18787425149700598,0.09397229502059154,0.4990059642147117,0.7059533596038818,2.877755641937256,42,less4fd_gossipcop_k12_deberta_HGT_results.json
gossipcop,13,deberta,HGT,0.4793042971023564,0.7739520958083832,0.4968853784221419,0.49885931071019707,0.6902012228965759,3.01216721534729,42,less4fd_gossipcop_k13_deberta_HGT_results.json
gossipcop,14,deberta,HGT,0.1934883247406235,0.2122005988023952,0.5111930641821947,0.5025371056281033,0.6985045075416565,3.0439035892486572,43,less4fd_gossipcop_k14_deberta_HGT_results.json
gossipcop,15,deberta,HGT,0.16199216428995838,0.19086826347305388,0.5943714821763603,0.5016136468418626,0.7020539045333862,2.953587532043457,38,less4fd_gossipcop_k15_deberta_HGT_results.json
gossipcop,16,deberta,HGT,0.1808329039371076,0.2028443113772455,0.49397775220560036,0.4990646256165176,0.7130723595619202,2.885193347930908,37,less4fd_gossipcop_k16_deberta_HGT_results.json
politifact,3,deberta,HGT,0.41714285714285715,0.7156862745098039,0.35784313725490197,0.5,0.6178674101829529,3.313107490539551,51,less4fd_politifact_k3_deberta_HGT_results.json
politifact,4,deberta,HGT,0.3466614906832298,0.35294117647058826,0.4806594800253646,0.48559282002834203,0.7113306522369385,2.6340651512145996,39,less4fd_politifact_k4_deberta_HGT_results.json
politifact,5,deberta,HGT,0.22137404580152673,0.28431372549019607,0.14215686274509803,0.5,0.8425952792167664,2.7885751724243164,39,less4fd_politifact_k5_deberta_HGT_results.json
politifact,6,deberta,HGT,0.22137404580152673,0.28431372549019607,0.14215686274509803,0.5,0.7751272916793823,2.9942047595977783,44,less4fd_politifact_k6_deberta_HGT_results.json
politifact,7,deberta,HGT,0.44043887147335425,0.45098039215686275,0.48443042964130867,0.48134152102031175,0.7149155139923096,2.797224760055542,40,less4fd_politifact_k7_deberta_HGT_results.json
politifact,8,deberta,HAN,0.4507692307692308,0.45098039215686275,0.5420263516583371,0.5436939064714218,1.012986183166504,2.0155813694000244,31,less4fd_politifact_k8_deberta_HAN_results.json
politifact,8,deberta,HGT,0.4507692307692308,0.45098039215686275,0.5420263516583371,0.5436939064714218,0.8248952031135559,2.9429781436920166,41,less4fd_politifact_k8_deberta_HGT_results.json
politifact,9,deberta,HGT,0.2153846153846154,0.27450980392156865,0.13861386138613863,0.4827586206896552,0.7438589334487915,3.2509491443634033,51,less4fd_politifact_k9_deberta_HGT_results.json
politifact,10,deberta,HGT,0.22137404580152673,0.28431372549019607,0.14215686274509803,0.5,0.731055736541748,3.8884785175323486,52,less4fd_politifact_k10_deberta_HGT_results.json
politifact,11,deberta,HGT,0.4130952380952381,0.43137254901960786,0.44796905222437133,0.4364666981577704,0.7529832124710083,3.1044838428497314,40,less4fd_politifact_k11_deberta_HGT_results.json
politifact,12,deberta,HGT,0.47574013157894735,0.5098039215686274,0.49284332688588006,0.49126121870571565,0.7025097608566284,3.0243723392486572,39,less4fd_politifact_k12_deberta_HGT_results.json
politifact,13,deberta,HGT,0.460423197492163,0.47058823529411764,0.5045329128892393,0.5054322153991497,0.7341787219047546,3.0163989067077637,39,less4fd_politifact_k13_deberta_HGT_results.json
politifact,14,deberta,HGT,0.22137404580152673,0.28431372549019607,0.14215686274509803,0.5,0.73054438829422,2.8582117557525635,38,less4fd_politifact_k14_deberta_HGT_results.json
politifact,15,deberta,HGT,0.36645962732919257,0.37254901960784315,0.5129993658845909,0.50968351440718,0.7477088570594788,2.4328298568725586,34,less4fd_politifact_k15_deberta_HGT_results.json
politifact,16,deberta,HGT,0.22137404580152673,0.28431372549019607,0.14215686274509803,0.5,0.7536664009094238,2.4482908248901367,34,less4fd_politifact_k16_deberta_HGT_results.json
